,preproc,rating
826,metal gear surviv more like metal gear tri to surviv,0
827,your my favoret yutob,1
828,god video so low iq,0
829,your dog us ugli asf jus like,0
830,even in  milion stil love it,1
831,it inevit no mater how old video get wel al be back here,1
832,dis song shithi,0
833,one of bigest dumb ase on youtub,0
834,went to watch previous movi of seri movi an insult,0
835,im go flag,0
836,best rewind ever mis,1
837,best batlefield game,1
838,rice gum just triger,0
839,beter than  and  at least not have as much dislik,1
840,stupid,0
841,idubz alreadi expos your fat bald as stop make these shiti video and end it,0
842,should be a meme,0
843,as much as im not a fan of rice gum think that dis track was extrem god god job rice gum impres someon with litl sub,1
844,what a piec of shit such an unlik face,0
845,was trash inb some kid say im onli dislik it becaus of kemstar im not actuali hate video,0
846,everybodi gangster until croc start spine,1
847,am alreadi confus within first  second kept watch and fel smarter than albert einstein laugh,1
848,had to take a kne dure perform,1
849,amaz,1
850,idiot wear a watch in bath,0
851,honest in my opinion most wel thought out video ive watch,1
852,there no excus yeah for your hipocrisi,0
853,humbl poet ruin whole song,0
854,came back just to lok at dislik,0
855,a piec of shit,0
856,not a bad gameit enjoyablei not understand whi peopl hate it,1
857,after  year il back to play bf ,1
858,just saw ocean  wow great movi love sandra bulock,1
859,wow so stupid and it obvious that youtub chanel onli made for view and click,0
860,worst game ive ever sen,0
861,talk to much,0
862,greatest trailer after kgf chapter  now,1
863,love ariana,1
864,omg laugh so aw,0
865,al kemstar know how to do slander becaus hes lose subscrib,0
866,trailer worth everi watch,1
867,probabl most hate person on youtub,1
868,am onli one who like it yeah okay,1
869,dislik garbag,0
870,whi do fel that secretari wil be star of show,0
871,who are vote for year fucken joe biden who cant make a complet sentenc without mese up,0
872,mis these video so much,1
873,nd greatest now histori rewriten by kgf god,1
874,whi so power,1
875,til day give me literali chil,1
876,so shit,0
877,think she drunk,0
878,that was col,1
879,a comedi with al femal hm that not ad up,0
880,man a fol,0
881,homework one though it so true,1
882,ive just watch it morn it reali god ,1
883,truli best game ever,1
884,wel done nasa kep great job,1
885,garbag,0
886,hey kem gue what your numba  now fucka,0
887,like anyon care what he thought,0
888,chanel stil has mani sub whi are peopl stil sube to cancer,0
889,stop war start explor,1
890,she sound so god here it like her voic totali match,1
891,just finish watch this hm that was a bit bore duno felt like knew end of movi from start,0
892,where kojima bad game,0
893,we love ashit piec of pie,0
894,just want someon to lok at me way jame lok at dave,1
895,oh god almost  whole year and stil get back here experienc same break up and kinda ned a valid of my reason so here am laugh,1
896, peopl who say she do high note se thish definit kile that love smile,1
897,ned a friend like taylor and selena theyr literali besti forev smile,1
898,god edit hurt to watch,0
899,danial kem are an idiot,0
900,like pute  in a stupid machin,0
901,whi no one like him,0
902,dayum not have touch meh boi leafi x,0
903,most of question were stupid tho,0
904,that not ksi gay,0
905,swear drama alert make youtub horibl,0
906,,1
907,awh how awesom im just wonder where ryan higa is,1
908,are fuck trash are literali bege for redempt becaus got cale out for what did wrong stop waist my oxygen,0
909,whi fuck are peopl subscrib to shiti as fuck chanel,0
910,im stil mad gas not lok like that even on ultra sete,0
911,idubz dis track was beter than your and are one who say that was bad whi are hate know it pointl,0
912,song deserv to go number one and for a long time,1
913,game legit awesom,1
914,it sound like a semi truck just slape her vocal everi  second,0
915,oh god my ear are blede,0
916,schol shoter woah way to far ricegum that kile,0
917,wtf bs and your stupid for give up your new iphon x whi not just sel fake one craz idiot,0
918,earth flat,0
919,whi cancel releas,0
920,litr mis her vid,1
921,whenev se trailer onli one thing had gosebump love,1
922, hes lost over k sub laugh,0
923,last god rewind rip youtub rewind ,1
924,got a tast of music if listen to,1
925,fuckin luv song so much,1
926,at least kem gone,0
927,onlin clas would be beter if there video like on everi subject,1
928,im not a fan of ksi but got problem rucka,0
929,what supos to be,0
930,video definit of icon,1
931,not even know whi do watch hole video just came to put a huge dislik v,0
932,let get to  mil dislik yal,0
933,fuck chanel like if agr,0
934,wtf im black not stop laugh xd,1
935,who would prostest with me to get back liza post video agian,1
936,so what they stole fox engin for,0
937,ive ben watch these car pol karaok from start and thing that sem to stand out like dog bal jame tri to out shine guest it actuali a teribl characterist to be gift with lok ugli at time,0
938,not even tri laugh,0
939,nah mate are not forgiven,0
940,never sen anyon say now ocean file with plastic so enthusiasticali,1
941,traumat,0
942,fuck kemstar stupid knome,0
943,that was bulshit and eci even made a apolog vid,0
944,wow your god at make it,1
945,yeah she never go to live down laugh,0
946,laugh jaiden and jame,1
947,so chesi,0
948,video stil ridicul,0
949,wonder how it fel be number,0
950,woah actuali like a washington post video,1
951,that song thogod damn love it,1
952,that god he a live,1
953,love check on video from time to time just to make sure im se those milion of dislik make me so hapi,0
954,they shoudl just bring in cal of duti squid warfar to compens for bulshit,0
955,rip grant thompson,1
956,wtf liber bulshit,0
957,love it love it love it dislik are amaz,0
958,went to video just to dislik it,0
959,was actuali an epic trailer it just was releas at wrong time,1
960,made no scene with stori line at al it suck,0
961,after al these year it stil cring,0
962,do have ani idea how much regret misclick on crap know wast my time watch vid hut are next level time wast,0
963,not to be mean but lok like mouth from goni,0
964,kinda upset that was clickbait,0
965,after watch seri final of adventur time it remind me of song,1
966,my rington love,1
967,love jacob sartorius from your big fan holi brown love,1
968,more video like plz we like hardwar,1
969,shit so fake man im here to die and wel did thank,0
970,fuck fc,0
971,qualiti literali nobodi after watch video,0
972,for ocean  it either emili blunt jenif lawrenc or meryl strep or most versatil actr tilda swinton love love,1
973,nice,1
974, fuck minut should be like  minut at most,0
975,lord help me but cant never play song ani longer or until last just search to have a god laugh in coment,0
976,do american not respect their nation anthem so cring to watch,0
977,game awesom ive onli play first and rd chapter of campaign and it beter than batlefield  in my opinion,1
978,your now no bitch chang your twiter bio and your youtub about page,0
979,okay but like gota admitpopi and lili part was funi,1
980,mrbeast  rewind was awesom but youtub unabl to do beter,0
981,man growth real on chanel,1
982,me in  bruh me in  ok actuali amaz,1
983,xd so fake even leafi said so and xd nvm whi am stil gete h laugh hate memest,0
984,bruh studi more,0
985,lok at script,0
986,everyon talk about bra guy but no one talk about how he not take a singl breath for second vers,1
987,to much to much,0
988,so much for stay neutral,0
989,wtf were think when made song,0
990,omg she kile it she slay it she crush it it dead,1
991,colest part was when ksi had fidget spiner,1
992,were not safe anymor,0
993,onli break up that made me cri and not even watch your video but get what liza go through and hope she restor confid in herself,1
994,noth new at al it doe not freze water instant either it take aprox  min to freze at a temp have to check on,0
995,atleast we got that amaz remix of theme out of movi,1
996,laugh comedi god laugh,1
997,ah finali found video search jejejej rararaha aha wow,1
998,those open vocal though smile,1
999,sori not speak nodl china,0
1000,onli thing that kiler kemster kile are his amount of subscrib,0
1001,fuck gay,0
1002,fuck ricegum laugh his chanel reali dead now laugh,0
1003,blodi fuck of dont say anyth about india,0
1004,jesus christ in that genius video he lok like a lesbian,0
1005,that a bit ignoranthat por woman walk around for nine month and then some and finali gave birth and and your friend are just cale it your babi that not fair at al she work hard for while were perfect fine for  month it not your child it wrong to put in titl it your surog child and not mention if even ask mother about it was she even okay with al this,0
1006,love you it midnight cant laugh and my laugh sem a trumpet xd,1
1007,have so much memori with game,1
1008,nice song man,1
1009,hope delet video ,0
1010,xd crocodil to god person,1
1011,so whackget my fan to cyber buli you doe that go hard in canada,0
1012,song painfuli under,1
1013,joey that kind of person that peopl folow and like but honest just a dumb guy,0
1014,wow just lost al respect had for cn,0
1015,was actuali awesom do agr that it wil never compet with origin one but it stil god just wish peopl would stop hate it hope there number ,1
1016,remind me of doctor strang love,1
1017,he complet ripe from rayvon owen but his was actuali god if was rayvon id sue caus just not right,0
1018,easili best rewind ever,1
1019,kemstar fuck bulshit  fake leafyisher fuck beter than and suport him al way instead of lie about leafi whi not think about bulshit do,0
1020,incred sexist im supres they not understand that,0
1021,ridicul,0
1022,like it it lok col,1
1023,congrat on  mil,1
1024,love song tehe,1
1025,trailer wil never be beaten,1
1026,fuck fc and can tel em said it,0
1027,omg luv watch your vid,1
1028,babi kiler piec of hit,0
1029,what abomin,0
1030,go live in your parent where belong dumba,0
1031,your a piec of shit,0
1032,kemstar your ful of shit actuali delet your acount,0
1033,god movi,1
1034,noth ever  prof chanel trash,0
1035,we al fuck hate video,0
1036,super under,1
1037,holi shit your a garbag excus for a person,0
1038,ruck has delet al bad coment about him and he left coment that say someth bad about ksi what a jerk,0
1039,are best selena are like a sister to me from paig,1
1040,cn are trash not hear a singl bo when he talk about fake news clasic case of fake news brought to by cn,0
1041,selena gorgeous love her,1
1042,we mis,1
1043,whi so much hate reali like it,1
1044,that kinda col,1
1045,liter masterpiec,1
1046,yo whi f would put ninja instead of pewd that whi were a flop,0
1047,not wait for game,1
1048,confedar flag a sign of racism it not mater if it was a racist intent,0
1049,omg were listen to atmospher at begin ilov atmospher so do my parent,1
1050,ethan alway funiest when hes folow someon els script xd,1
1051,im glad never saw movi it loke so stupid,0
1052,k like k dislik laugh rucka your a fuck loser,0
1053,im not buy this im not buy this im not buy this im not buy this im not buy this im not buy this im not buy this im not buy this im not buy this im not buy this,0
1054,love watch old vid in  becaus it bring memori it just make sens,1
1055, milion like smile,1
1056,shame on konami,0
1057,honest like movi a lot,1
1058,use to respect and like him so much but now ethan lost al my respect on,0
1059,chanel just a wast of storag space,0
1060,who tf in their right mind like this,0
1061,cant talk are a fuck racist to fuck,0
1062,so dumb,0
1063,ive learn more in les then  minut then have in like  year of schol my point is  year of schol are usel,1
1064,wana know my favorit thing about dramalert watch sub go down,0
1065,not kide thought was a joke,0
1066,im no scientist but shes racist,0
1067,thank for brave enough to use your platform despit know would get shit we ned more famous peopl like you,1
1068,make vomit sound,0
1069,love ,1
1070,ghost buster worst movi ive sen,0
1071,honest canot believ this not know about betray but lost a shit ton of respect for men thought were difer,0
1072,gosebump,1
1073,that stupid,0
1074,whi are yele shut fuck up,0
1075,cn fake news,0
1076,actuali love campaign,1
1077,laugh,1
1078,idubz has a lot of power on his hand talk about a human god,1
1079,a piti video and sad hear im sori to cover up everyth that true,0
1080,it white stripe that made trailer,1
1081,hey coment plz se these coment and resign,0
1082,love guy,1
1083,trailer loke reali nice cant wait to se it in theater d,1
1084, second was wors than year ,0
1085,that horibl,0
1086,compar to what we got year gue it not that bad,1
1087,fuck,0
1088,are a horibl back staber and stabe al your friend in back oh wait forgot have no friend,0
1089,are a weird loke fela,0
1090, selena absolut me when ma friend made embaras thing in public laugh,1
1091,x sound so god,1
1092,best batlefield game in my opinion imers and atmospher just unreal cant wait for bf later year god,1
1093,love eminem part,1
1094,was best award show colect in a long time,1
1095,just love read coment laugh,1
1096,was by far best rewind of the al,1
1097,pleas show dude exit dor,0
1098,let go fil dipshit with  coper round of fredom,0
1099,fck not metal gear god job destroy  year of great work,0
1100,movi was so great duno what al hate about,1
1101,anoth st from konami,0
1102,nostalgia mis  wish it was on repeat,1
1103, did she have a stroke,0
1104,he has a point,1
1105,suck rukuc,0
1106,came here just to check how mani dislik have ben,0
1107,how stil monit,0
1108,what a load of sexist drivel,0
1109, milion view wow,1
1110,mis video like this,1
1111,wonder how mani peopl watch hh video for content and how mani just watch becaus they are hypnot by his caterpilar eyebrow danc,1
1112,hah dislik,0
1113,fat old feminist teribl actor movi worst movi in histori of cinema,0
1114,like rewind,1
1115,mean edit and sound col and al but cring just to over,0
1116,fuck ashol,0
1117,hes gone hes not in fc anymor as of today,0
1118,how doe it fel to be same gender as wendi wiliam,0
1119,am surpris they not disabl coment,0
1120,can someon pleas cal social servic on these motherfuck thank,0
1121,your my favourit person that awesom and col and like song life fun,1
1122,not hear ani bos cn suck,0
1123,al these star war and halo joke are gete old,0
1124,whi not guy just delet his chanel yet,0
1125,not reali se whi a lot of guy hate ethan so much after this so he said pewd not have said it live big whop pewd probabl not have anyway but ethan even defend fact that whole legal document stuf was to far to go against pewd calm your shit peopl none of reali mater anyway,1
1126,okay everyon hate o on movi but can we pleas talk about how hot julian holtzman is thank,1
1127,know what youtub alreadi watch it  year but im not even complain gold,1
1128,your intro crap jest like,0
1129,sadak  just broke your record motherfuck now these feminist cant even get most dislik,0
1130,he lok like a human version of squidward hous,0
1131,period ,0
1132,love and mis  wolfi,1
1133,steal scarc news manchild,0
1134,note my word itz stil search on youtub rapid,1
1135,yal more mean then ned to be,1
1136,love how much of coment are against rice gum,0
1137,a veri poetic and pasion song literali one of mani most power album eminem has produc,1
1138,yes duck tape tri almost lost a nipl laugh when she said that,1
1139,racist bastard,0
1140,just bring back clasic metal gear from ps and be done with it,0
1141,know there noth particular wrong with make an alfemal remak of clasic movi problem theyr not god get some god writer to help with script and mayb peopl stop rage on them,0
1142,i was afraid they wouldatack laugh they some midl scholer boy laugh,0
1143,your so handsom,1
1144,ive learn most import fact ever sun a dead lazer,1
1145,movi was actuali preti god so mani peopl laugh dure movi,1
1146,sound sincer to me,1
1147,kemstar can go fuck himself hes an ignor manchild fuck of,0
1148,so much cring,0
1149,let get right in to news late kemstar has ben cri and say whi am gete hate becaus do shit like,0
1150,is that normal oh yea tres scream in arizona live for,1
1151,like how there a theodsout toy behind dave,1
1152,you have got to be fuck kide me come to show how fuck up our govern is not se they are walk al over us im move to canada fuck hate america and it shit system repres democraci when obvious these peopl not repres view of peopl they repres view of rich and power fuck al of you,0
1153,are not musician eat fuck,0
1154,end was so funi think that realist eminem ive sen year,1
1155,ah what a memori from  was my first video of pewd and he upload twice a day back then c,1
1156,boi everyon get buli get over it at least he not comit suicid also what donat for,0
1157,love it,1
1158,stil here,1
1159,your so dumb for do that cuz phone that show on scren was worst fuck phone on planet,0
1160,watch your video has cure my leukemia,1
1161,lok guy girl stop fight both scarc and kemstar are both usel as fuck youtub who not deserv ani subscrib they are tele peopl what they se and ade cancer to it when we could do it ourselv,0
1162,kem stop tri to get back at leafi from his fan compar to your are bound to get hateatent and wonder whi you stil get hate if mes with a larg youtub fan are gona fish out video and dislik it also not tel anoth news youtub to do his job just becaus he has a beter chanel develop to,0
1163,watch  time so rip,1
1164,suck how much internet gona cost now and for what kind of websit,0
1165,it was and a great game but was complet releas at worst posibl time bf made craze be bot on ground w and  but instead of go back they went farfar forward,1
1166,and just like that your chanel fuck,0
1167, like for vision plz sad he sacrific himself for stone,1
1168,do not retun nanci sinatra voic,0
1169,balsi move hamer over your granit counter granit one of softest rock one slip up and youl be replac an entir slab laugh anyway col video mate,1
1170,im not go to folow someon becaus im fan of their im go to folow truth and your not tele truth and it has ben proven on multipl ocas fel like ned to get through your head and just apolog then cari on with your youtub,0
1171,a clasic not mind a sequel just not yet,1
1172,doe kid have ani selfawaren,0
1173,ive just ben bing  song most of them are song not even like but they bring back pleasant midl schol memori,1
1174,ricegum not sem to like actuali talk about his enemi he just talk about his money a bit coward eh,0
1175,get a grip rice gum,0
1176,plz fire guy,0
1177,at  laugh my as of,1
1178,sogi cereal cn,0
1179,idk whi these dumb fcks kep coment negat in trailer it so col yeah it not like trilog but it stil col have some respect,1
1180,a new resid evil ,1
1181,funi laugh laugh,1
1182,al that work could bare watch but yet could not lok away,1
1183,a at begin an unpolish cod releas at worst posibl time,0
1184,lame,0
1185,but whi did have to film,0
1186,yeah movi was awesom also extend version made it hela more beter extend should have ben in theater should have becaus it reali was and a god movi not worst movi of year wil say batman vs superman was a shit show there was zero plot and was so confus with that movi hey soni great movi make a second one for those who love movi screw hater,1
1187,id rather be cold than wear his sweatshirt,0
1188,what a shit show,0
1189,men acidentali glanc at a feminist for half a second feminist peac was never an option,0
1190,what supos to bea freform jaz version,0
1191,omg kid so special becaus he get buli there mani other that get beat up and buli at schol hes not onli one sad,0
1192,yo rewind was actuali god compar to what we have now,1
1193,video gona get al histori teacher fire,1
1194,im actuali triger from and he think that j onli react to video omfg im done im done,0
1195,it fine that im  and enjoy this,1
1196,stupid,0
1197, was beter than  but stil couldv ben beter,0
1198, not dare get dan and phil dirti favourit line in video laugh,1
1199,im even more confus,0
1200,im here from  video rememb someon opinion in just someon opinion take it with a pinch of salt and be respect,1
1201,elect in us kep gete stranger and stranger,0
1202,wow age wel prop rice,1
1203,omg she sound like a die goat whi am just now watch entir thing por peopl in there that was so horibl guy did a god job control themselv bc would have strugl neutral,0
1204,think like a zilion pl are gona coment about how am wrong but like it,1
1205,would unplug kem life suport so can charg my electron tothbrush,0
1206,it just me or has it actuali ben or more day sinc shower,0
1207,ok so what up with that jacket whi did they do to stop motion jacket crawl on flor he couldv just hand it to her whi not but then said they had to do,0
1208,make me cring,0
1209,iron cn of al news media post this not consid a bo from crowd that much more like a bo from a smal group of cn report,0
1210,im sori but cant reali apolog almost like mini lad,0
1211,crazi,0
1212,came for tomi wiseau was disapoint,0
1213,quit like video mat a litl ofbeat from your normal work but can understand mesag here kep on do what make hapi,1
1214,the truth that what liar would say,0
1215,just check if my dislik stil here it is hang in there litl budi,0
1216,say what want but ricegum a chad while idubz a simp,1
1217,personali think movi ok not beter than origin but ok like cast actuali so yah my opinion not go hate smile,1
1218,just like to return to video from time to time to se how mani dislik it has,0
1219,saw film two day ago wil not be buy it it was done just fine  year ago,0
1220,aint a big fan of rap music but reali god and a nice twist for mat so congrat to him and thank to peopl who help bring to us al,1
1221, peopl that wil make hela money of these new rule went on here to give a big thumb up to videolol wow we peopl creat internetand now they are go to make us pay big for itgod job guy in fc way to stand up for our right,0
1222,that text at end pise me of not tel peopl to vote for who suport your part of problem dumba but im stil gona watch his airplan video,0
1223,so just heard for first time todayand not se whi peopl are give hate mean have ben listen sinc slim shadi lp and sure difer but honest it beauti,1
1224,im reali sori for al these ladi sori if not consid yourself a ladi they must have a super sad life and it sem they never reali met ani man ever at al otherwis they not rais such stupid question furthermor they not even realis they are racist por girl,0
1225,im probabl gona buy it onli reason say probabl becaus not know how mani peopl wil be onlin,1
1226,it so sad se ethan then and now,0
1227,,1
1228,hi react chanel im alway watch your video and love them al was hope that can make a react vid on bong chong dong ghost ty and more power to you,1
1229,wow was truli uh wierd and interest,1
1230,countri fale apart implod from insid asham to be a citizen of divid state of america,0
1231,democrat kep your big govern shit net neutral what a joke,0
1232,thre word movi,0
1233,theyr bo becaus their brainwash cn fake news just like rest of them iluminati front ned to be burn to ground noth but lie to public in mase noth but a traitor to countri,0
1234,rice gum rude,0
1235,im upset that got hate was my favorit cod game and now there never gona make anoth one like it,1
1236,your not black and are racist your content suck are clear white,0
1237,he tri to make it relat but onli idiot gram there fod and whi do cal it fredom your preti much take thing away not give them,0
1238,like how video has  milion dislik and   like,0
1239,what doe have to do with metal gear big bos solid snake or anyth sem that konami rune out of idea how about let kojima decid how to make game and it content,0
1240,american forefath are shake in their grave,0
1241,col,1
1242,am load al gnomestar video and dislik one by one his,0
1243,should replac cast with bil bur jim jeferi edi grifin earthquak and then am sold,0
1244,rememb watch wolfi  year ago and then saw in my recomend ofcours came back,1
1245,logan paul listen it not your fault for anyth,1
1246,am onli one that actuali like movi and not care that femal replac male,1
1247,wish could block on youtub,0
1248,gigi your gramar horibl,0
1249,she not sing to save her life,0
1250,same guy who made death threat atempt to help someon who suicid,0
1251,cn stil oper in an altern univers those bos were direct at you lol,0
1252,video visual al of his greatest achiev noth but fail,0
1253,wtf that crackl sound in background it disturb stop,0
1254,finali got around to se this after about  minut wish not bother so sad to se someth icon remad into total crap,0
1255,stfu woman,0
1256,k dislik nice,0
1257,beyoncé sing god but her time was over sori but it sad but true but song was veri amaz he worthi of an eminem eminem make rap great again,1
1258,ı think perfect game whi al dislik,1
1259,whi do peopl watch this it just a bunch of over privileg rich peopl pate themselv on back for do their job,0
1260,so a woman who has hatr toward peopl simpli becaus of their lok that had done noth to her want sympathi for her child that get hate and buli simpli becaus of his lok by peopl he has done noth to hm doe she not se ironi in al of this,0
1261,strong boy god bles and kep in peac god love,1
1262,wow hes lost a litl over  sub sinc came out no complaint im just watch out of boredom no sub from me,0
1263,peopl that dislik not know what god music,1
1264,game was bad and stil bad rent it when it came out and return it  hour later lol can literali give  reason right now as to whi game was bad not as bad as peopl make it out to be but it definit one of worser cod it there with ghost and w,0
1265,stil hate kid so much,0
1266,suck it could be his last album hate al critic he has ben gete with his recent album as have done sinc his first album pick my fav and ad them to my playlist have song in my playlist from everi album yes even new one actuali reali like quit a few of his newer song not get it,1
1267,did not hear ani bos fake news again,0
1268,had to clean my ear out after ,0
1269,disapoint to se her just put down al those male director im preti sure one of guy work on his movi for  year and to just make him fel bad for be a male director at an award show just fowl,0
1270,kep go guy we are almost at k dislik,0
1271,actuali preti col but cod not meant to be futurist if was a trailer for halo id be hype but cod just no,0
1272,rucka rucka best,1
1273,beyoncé has such rich vocal that reali separ herself from other,1
1274,let read comet  rewind god comet realiti trash,0
1275,guy has prove to societi that not al asian are smart,0
1276,not let them get in your head your best raper ever,1
1277,power of pati compel youto watch someth beter than crapi film,0
1278,wtf wrong with peopl guy are actuali crazi surog surog surog who are wtf babi arent temporari theyr not object they are peopl insan,0
1279,wonder how mani n bomb ethan drope befor post this just ride hate train boi,0
1280,fuck just wana se reaction again after a few year forgot how cring bitch,0
1281,love watch lol,1
1282,was so much fun,1
1283,we are nasa we cover up ufo and not let know secret of space unl it s someth bore like sun heat that we al know about,0
1284,are a piec of human fing piec of st garbag,0
1285,cring level has ben reach to ,0
1286,was a reali god movi personali,1
1287,wtf im so confus,0
1288,fuck dude,0
1289,ben on youtub longer then him he stil manag to get more sub then your gay as content by way your so fuck cringey as hel ima leav to work out what just wrote coz have a brain of a five year old and wil probabl never understand these sentenc which have more rap worthi word than al of your shiti album have a nice day,0
1290,onli song and luka fele are some of onli thing kepe me sane through these rough time want to send love to everybodi and let everyon know everyth wil get beter son we are al go through togeth love ,1
1291,hate my self bc love rewind,1
1292,guy are honest so thick not even wrap my head around your surog squad babi stupid,0
1293,reali think invent dis track that sad,0
1294,they put kpop instead of minecraft so not god at slightest,0
1295,se whi peopl hate guy,0
1296,was have high hope for  what fuck,0
1297,love video,1
1298,they are bo about fake news oh the damag that has ben done by,0
1299,forgot knew how to laugh nede this,1
1300,lie and are tri to dodg admit it by claim can chang definit of word it preti fuck to cal actual birth mom and legal guardian a surog,0
1301,what a sore loser god danm it fuck kemstar,0
1302,can compar rice to whale shit and whale shit would stil come out on top,0
1303,was a veri interest time period of internet everyon went of shit ngl stil want to give it a tri im a simpl man,1
1304,godamn end nigh internet has falen into a state of madn prepar your falout shelter stock up on cane god get gunsth ajit paicolyps here,0
1305,godn that was as,0
1306,not understand whi hes stil gete hate chanel preti use sometim,1
1307,rememb al  year old edgelord gete mad at this thing is he was  right,1
1308,like how we have half of amount of like to dislik,0
1309,yes do it scienc explor setl mar yes mon whi not if it not delay mar but dep space gateway not know sem like a masiv and veri expans distract like video pleas do it,1
1310,love hh but stil deserv more dislik,0
1311,casey there a reason who your vote for kept privat,0
1312,wow trol are out in forc here if not want to se it then whi did even come to lok at video as for me im about to get drese and head ot theater,1
1313,love them beard,1
1314,god video was veri unprofesion,0
1315,pleas coud someon tel comentrashtor to shut fuck up,0
1316,put spiner back on his nose he was so hapi,1
1317,im watch your sub count go down and love it fuck kem,0
1318,ksi video are beter,0
1319,not tel truth lie and manipul peopl who suport and swate  year old hate,0
1320,your preti ugli dude laugh,0
1321,lok im a cute croc,1
1322,they should of got victor oladipo to sing nation anthem it would of actuali ben god and not as pain as,0
1323,becaus so mani peopl believ,0
1324,cant believ they d sori curent not have ace to featur to se twet like and more pleas consid purchas our premium packag for al time low price of mo price subject to chang,0
1325,honest one of beter video ive sen in my day gave it a like,1
1326,fel stabe in back becaus leafi not finish of like hope,0
1327,your mom,0
1328,oh that was such a bad bo fake news station,0
1329,sound more racist than pewd fuckin lech,0
1330,donald right shut up cn,0
1331,im sori cant take care of a dog want a babi now pleas,0
1332,bias as fuck,0
